,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.8,ttFatJetParTXtauhtauhvsQCD >= 0.9
JetMET,1186573.0,1163289.0,547142.0,71474.0,167.0
Tau,5616.0,5556.0,1720.0,207.0,5.0
QCD Multijet,869152.346167114,855058.983072219,412972.6710760045,43243.1999371747,51.95126540464284
TT Had,22907.77882859464,22457.66713370783,14001.276897787438,1462.165155971349,2.0562932879939204
TT SL,20253.7202127804,19940.34898444985,12152.674386220511,831.1985029324733,46.03187515254118
TT LL,3759.9139454593146,3699.6076866195967,2299.2740452162307,258.60687295927863,27.486058424556717
DY+Jets,256.5363961645679,250.37543137519043,136.2311986516826,28.249734470772264,12.85699347763483
W+Jets,3951.359286276455,3827.6508062443527,2344.570219951748,422.9244159200065,-2.3953944953473694
Z+Jets,13165.152802956358,12917.548638304888,6873.292877289374,1236.3416275921636,1.1238700820188836
Hbb,754.1845164455269,737.7490952174052,448.58308057064784,115.44619724939392,0.6928265854202914
ggF HHbb$\tau_h\tau_h$,0.13303594389252404,0.13084582770564102,0.07569292217035237,0.05226575279723862,0.046139833848782785
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.0518235142242922,1.0424788421636715,0.6998044699371418,0.5716098230461265,0.565146257650093
