,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.907 or ttFatJetParTXtauhtauhvsQCDTop < 0.99
JetMET,5974.0,5748.0,2537.0,2528.0
Tau,900.0,894.0,442.0,442.0
QCD Multijet,3637.7169936985665,3543.602100556831,1474.5726865131742,1474.163342723118
TT Had,91.39574738974021,86.01511651587154,51.94317886081055,51.81361430590211
TT SL,224.13891594315385,214.48798316335603,94.04979252002437,93.90361801738075
TT LL,102.78544734530567,98.26448337088226,39.35286246387311,39.35286246387311
DY+Jets,673.7020935799007,670.4138149697316,489.77522403221246,488.51011827264085
W+Jets,76.04402941098205,72.21293643734674,27.750007938135827,27.750007938135827
Z+Jets,79.60778924908946,76.36917005705615,18.145556354569017,18.109911966186566
Hbb,3.3936674879962316,3.3396835085287995,1.2725587215158591,1.187460783987964
ggF HHbb$\tau_h\tau_h$,0.11551247292033268,0.11435489907875845,0.07995591882158512,0.049122103589598134
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.1385140661080568,1.1294765234575344,0.9012177201562874,0.40070827801235376
