,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.907,ttFatJetParTXtauhtauhvsQCDTop >= 0.99
JetMET,5974.0,5748.0,2537.0,142.0,9.0
Tau,900.0,894.0,442.0,20.0,0.0
QCD Multijet,3637.7169936985665,3543.602100556831,1474.5726865131742,68.34509878018393,0.4093437900560701
TT Had,91.39574738974021,86.01511651587154,51.94317886081055,1.7213574207410955,0.12956455490844293
TT SL,224.13891594315385,214.48798316335603,94.04979252002437,2.9703229385877843,0.14617450264362714
TT LL,102.78544734530567,98.26448337088226,39.35286246387311,0.9556847025743861,0.0
DY+Jets,673.7020935799007,670.4138149697316,489.77522403221246,5.6894879758704935,1.265105759571461
W+Jets,76.04402941098205,72.21293643734674,27.750007938135827,-0.21654835735806974,0.0
Z+Jets,79.60778924908946,76.36917005705615,18.145556354569017,5.179776242997528,0.03564438838244882
Hbb,3.3936674879962316,3.3396835085287995,1.2725587215158591,0.5162247012604567,0.08509793752789496
ggF HHbb$\tau_h\tau_h$,0.11551247292033268,0.11435489907875845,0.07995591882158512,0.03705733396190619,0.030833815231986982
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.1385140661080568,1.1294765234575344,0.9012177201562874,0.547247530984339,0.5005094421439338
