,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.855,ttFatJetParTXtauhtauevsQCDTop >= 0.99
JetMET,12486.0,12091.0,5726.0,450.0,37.0
Tau,1909.0,1895.0,540.0,31.0,0.0
EGamma,400.0,387.0,113.0,7.0,0.0
QCD Multijet,6618.707135754944,6458.481884764044,1605.4657617469143,90.00222282873136,0.024097921185274474
TT Had,143.7912862079276,136.36213557221473,56.720246861586745,4.190809469263913,0.0518696229446209
TT SL,654.7505861057277,624.6314501786433,473.3450178940579,39.012051100990554,0.18656522267791553
TT LL,351.591236241714,336.81726428823663,270.4948280459863,19.071880316521753,0.6903375568112119
DY+Jets,1843.208559208508,1832.5718664585174,1760.4209948909997,33.41367759889383,11.081441064223982
W+Jets,152.80235983953747,142.44317422062812,51.50930155912326,0.6895865089587488,0.0
Z+Jets,129.14857539812704,123.92391342973364,33.659119622629234,11.233655332326107,0.04531629330623841
Hbb,8.334469759129833,8.135589562425839,5.258341746785588,2.9051927049114052,0.48353960197320334
ggF HHbb$\tau_h e$,0.13712334250317615,0.13469006532353697,0.1244428260834441,0.07416923200090017,0.048480612014439824
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.6332942223171074,1.617582033249455,1.5339879273192276,1.0890836871306062,0.8520155899877132
