,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.907 or ttFatJetParTXtauhtauhvsQCDTop < 0.99
JetMET,25661.0,24810.0,10336.0,10312.0
Tau,2723.0,2695.0,1244.0,1244.0
QCD Multijet,11865.915626422908,11547.305563403097,4440.561560171367,4440.0138870194505
TT Had,296.64628418345126,279.6065305116578,166.12952946657794,166.02118411312995
TT SL,775.3791666334204,740.252780156943,331.195885744826,331.143366539046
TT LL,340.8953785114537,326.59999038025177,137.66916887036672,137.41532124478886
DY+Jets,2289.626025753225,2278.87497582414,1662.4591196573251,1660.215061554748
W+Jets,330.5226563118145,315.2782695608682,140.00306176936903,140.07329962096043
Z+Jets,248.64085649083256,238.88665439945967,77.20647618530612,76.69778577077872
Hbb,11.183237760185326,10.881295128942964,4.412057518720241,4.1391443980327045
ggF HHbb$\tau_h\tau_h$,0.3813784702747012,0.3750510065871192,0.25780738093384403,0.15546658859251963
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),3.7213250376934153,3.692240972158628,2.9357837180660242,1.3291535815163205
