,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.907 or ttFatJetParTXtauhtauhvsQCDTop < 0.99
JetMET,12578.0,12229.0,5360.0,5352.0
Tau,2292.0,2276.0,1071.0,1071.0
QCD Multijet,7415.817856568496,7228.493953052226,3262.425806681399,3262.3131365413683
TT Had,173.83346708111242,164.95413644162883,101.3632417823463,101.11132992585075
TT SL,478.74171979630466,457.691144053682,220.38698462324422,220.21851011330756
TT LL,221.7627728755715,211.36408961967777,93.81153386848594,93.74277115142655
DY+Jets,1467.9213880026207,1462.3355607465464,1082.261333836957,1080.9157282805793
W+Jets,186.75899902389287,183.3422353790992,89.63072554131378,89.99059529440254
Z+Jets,143.27227393930224,139.40209879403153,47.55407448317038,47.56090904007635
Hbb,7.74721657846056,7.532213942092567,3.05366848201733,2.8622734962320253
ggF HHbb$\tau_h\tau_h$,0.25225054267801866,0.24924316493292328,0.17394356362715369,0.1033537325883507
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),2.497661399983837,2.4781836329565015,1.9677268109284816,0.867672227011036
