,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.907 or ttFatJetParTXtauhtauhvsQCDTop < 0.99
JetMET,6536.0,6411.0,2937.0,2934.0
Tau,1541.0,1532.0,677.0,676.0
QCD Multijet,3755.4394133619935,3669.7203474309003,1419.2096778271825,1418.5152213538263
TT Had,96.78154074677421,91.54535552514116,58.166173088297995,58.16020918743615
TT SL,264.9347230673891,253.7485292865436,122.71597670094624,122.53407109810863
TT LL,120.49041113633768,115.66341320635249,51.69264073199178,51.61820370594387
DY+Jets,758.2962936153172,755.3192413938466,533.1193049403855,533.1676580842993
W+Jets,103.8225304786523,102.10796981785816,44.304038409948305,44.304038409948305
Z+Jets,73.79454579606688,72.54100269515989,22.403673696914552,22.48690155467836
Hbb,4.073278424053038,3.9765644654788828,1.6594208310142657,1.4607558015002842
ggF HHbb$\tau_h\tau_h$,0.13506687066500095,0.13328644137116943,0.09239499080727584,0.05489861297614791
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.3280802807667835,1.3177996834955703,1.0472174775302565,0.4681973925917927
