,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,ttFatJetParTXtauhtaumvsQCDTop >= 0.979
JetMET,104966.0,102294.0,80135.0,8787.0,33.0
Tau,5537.0,5469.0,2453.0,242.0,1.0
Muon,14854.0,14569.0,10473.0,487.0,3.0
QCD Multijet,29547.25674642909,28859.5479701186,13226.93364248659,1478.3699889506588,0.048135942295110895
TT Had,1196.838803099203,1151.9593579813147,896.8987125397591,121.40224625876778,0.14937305467721854
TT SL,52031.46435841643,51311.6502006537,48467.4165250351,3445.9355355994553,1.7369629574979295
TT LL,14296.164397374623,14040.32774261918,13201.713369121826,2192.5891319201774,2.204889823867229
DY+Jets,4450.4009145961645,4400.565007208044,4179.892782824087,189.62400159735716,13.976645445550654
W+Jets,611.047702410432,586.5804228419202,360.36157210246165,26.466256895259562,0.0
Z+Jets,434.0966599208101,414.6592906253022,198.23193472091862,63.96988634466473,0.04531629330623841
Hbb,40.556797054519215,39.82787676150769,30.1517733013516,19.26892685797527,0.34647100170170936
ggF HHbb$\tau_h \mu$,0.18139381392328466,0.17818103453373296,0.16425341464680232,0.12221735340860324,0.06378512322668783
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7734408447342227,1.7540472196063843,1.6633725728213185,1.3691063362860751,1.054402460727593
