,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.731 or ttFatJetParTXtauhtaumvsQCDTop < 0.979,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,58146.0,56951.0,45996.0,45979.0,2194.0
Tau,5003.0,4945.0,2470.0,2470.0,327.0
Muon,13014.0,12813.0,9686.0,9686.0,249.0
QCD Multijet,17948.039126448537,17579.21857741347,8127.017934853693,8126.589298131767,716.6193499516066
TT Had,720.4890228316788,698.9938073979698,557.659207106356,557.518996045704,19.476311127395217
TT SL,34520.7524018591,34068.693707298764,32361.85721734238,32360.431408960907,243.80466600740021
TT LL,9752.753833084902,9600.42569591999,9085.299623922963,9084.352924200452,145.42817410405343
DY+Jets,2815.1190950520604,2780.7093981553926,2650.878919460885,2643.3027082760514,961.8349727074781
W+Jets,371.01601003623637,358.38848248211076,209.7281499571066,209.99469730959504,16.11203068626966
Z+Jets,254.81127102243502,247.94070550910055,119.72378380627418,119.73278621904824,13.377984878297408
Hbb,28.721669020539267,28.167193948066927,22.46059367658193,22.245565360016883,2.760852129391257
ggF HHbb$\tau_h \mu$,0.12466059291357709,0.12261215015688016,0.11288368006526439,0.0647649064150687,0.03791085398408152
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1864315442762563,1.1740406170209126,1.113812643313608,0.40125323717350125,0.30957160418350504
