,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,ttFatJetParTXtauhtaumvsQCDTop >= 0.979
JetMET,58146.0,56951.0,45996.0,5137.0,17.0
Tau,5003.0,4945.0,2470.0,257.0,0.0
Muon,13014.0,12813.0,9686.0,426.0,0.0
QCD Multijet,17948.039126448537,17579.21857741347,8127.017934853693,1184.6353318189308,0.42863672192704766
TT Had,720.4890228316788,698.9938073979698,557.659207106356,80.79570644506293,0.14021106065212546
TT SL,34520.7524018591,34068.693707298764,32361.85721734238,2374.9270231716873,1.4258083814794875
TT LL,9752.753833084902,9600.42569591999,9085.299623922963,1600.6010805776175,0.9466997225173914
DY+Jets,2815.1190950520604,2780.7093981553926,2650.878919460885,116.5878286176563,7.576211184833074
W+Jets,371.01601003623637,358.38848248211076,209.7281499571066,25.87294299162185,-0.26654735248843947
Z+Jets,254.81127102243502,247.94070550910055,119.72378380627418,38.42581522632092,-0.00900241277404996
Hbb,28.721669020539267,28.167193948066927,22.46059367658193,14.949186036147736,0.2150283165650477
ggF HHbb$\tau_h \mu$,0.12466059291357709,0.12261215015688016,0.11288368006526439,0.08644403370679131,0.04811877365019569
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1864315442762563,1.1740406170209126,1.113812643313608,0.9231754360818247,0.7125594061401066
