,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.731 or ttFatJetParTXtauhtaumvsQCDTop < 0.979,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,30445.0,29981.0,24489.0,24480.0,1171.0
Tau,3534.0,3499.0,1772.0,1772.0,207.0
Muon,9740.0,9620.0,7426.0,7424.0,172.0
QCD Multijet,9120.03942230004,8947.159411477442,4416.056365015874,4415.795274151076,328.2853541511579
TT Had,402.0481229598515,388.3856031099848,310.4839429177963,310.4839429177963,11.996307189132022
TT SL,18629.250658262667,18388.19573192956,17466.7483737811,17466.180900901054,133.7554434871785
TT LL,5230.765612913013,5142.705647251549,4864.788416804915,4863.844913871347,80.67162571246938
DY+Jets,1520.3735202352946,1503.5442348105003,1428.851427213678,1422.7355196932053,517.5845130457296
W+Jets,202.5139491889235,198.455372334891,121.28328563793174,121.28328563793174,6.727774840981716
Z+Jets,153.670307086168,151.53552170116228,80.0869219841307,80.08978724156967,8.31098108918814
Hbb,15.024667150270497,14.766692795942149,11.681992105502,11.563199746075217,1.3778542750554117
ggF HHbb$\tau_h \mu$,0.06236854639573483,0.061374448037011475,0.05683509063675318,0.03343033889218434,0.019449562742132227
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.6314788528422093,0.6257519274990401,0.5939163950352456,0.2159961094055132,0.16795876622195283
